period,period_roc,period_date,material,item_name,unit,region,region_group,region_level,price_basis,source_dataset,price,price_min,price_max,source_file
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD280,熱軋,D10mm,工地交貨",,中區,中,region,exact,價格趨勢PDF,18900.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD280,熱軋,D10mm,工地交貨",,北區,北,region,exact,價格趨勢PDF,19100.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD280,熱軋,D10mm,工地交貨",,南區,南,region,exact,價格趨勢PDF,18600.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD280,熱軋,D10mm,工地交貨",,台東,東,region,exact,價格趨勢PDF,19200.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD280,熱軋,D10mm,工地交貨",,花蓮,東,region,exact,價格趨勢PDF,19200.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD420,熱軋,D29mm,工地交貨",,中區,中,region,exact,價格趨勢PDF,19900.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD420,熱軋,D29mm,工地交貨",,北區,北,region,exact,價格趨勢PDF,20100.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD420,熱軋,D29mm,工地交貨",,南區,南,region,exact,價格趨勢PDF,19600.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD420,熱軋,D29mm,工地交貨",,台東,東,region,exact,價格趨勢PDF,20200.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD420,熱軋,D29mm,工地交貨",,花蓮,東,region,exact,價格趨勢PDF,20200.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD420,熱軋,D36mm,工地交貨",,中區,中,region,exact,價格趨勢PDF,20100.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD420,熱軋,D36mm,工地交貨",,北區,北,region,exact,價格趨勢PDF,20300.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD420,熱軋,D36mm,工地交貨",,南區,南,region,exact,價格趨勢PDF,19800.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD420,熱軋,D36mm,工地交貨",,台東,東,region,exact,價格趨勢PDF,20400.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,鋼筋,"產品,鋼筋,SD420,熱軋,D36mm,工地交貨",,花蓮,東,region,exact,價格趨勢PDF,20400.0,,,鋼筋價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,控制性低強度回填材料,混凝土用粒料,90kgf/cm2",,中區,中,region,exact,價格趨勢PDF,1390.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,控制性低強度回填材料,混凝土用粒料,90kgf/cm2",,北區,北,region,exact,價格趨勢PDF,2200.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,140kgf/cm2,第1型水泥,工地交貨",,中區,中,region,exact,價格趨勢PDF,1790.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,140kgf/cm2,第1型水泥,工地交貨",,北區,北,region,exact,價格趨勢PDF,1820.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,175kgf/cm2,第1型水泥,工地交貨",,中區,中,region,exact,價格趨勢PDF,1890.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,175kgf/cm2,第1型水泥,工地交貨",,北區,北,region,exact,價格趨勢PDF,1920.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,210kgf/cm2,第1型水泥,工地交貨",,中區,中,region,exact,價格趨勢PDF,1990.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,210kgf/cm2,第1型水泥,工地交貨",,北區,北,region,exact,價格趨勢PDF,2010.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,245kgf/cm2,第1型水泥,工地交貨",,中區,中,region,exact,價格趨勢PDF,2090.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,245kgf/cm2,第1型水泥,工地交貨",,北區,北,region,exact,價格趨勢PDF,2110.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,280kgf/cm2,第1型水泥,工地交貨",,中區,中,region,exact,價格趨勢PDF,2190.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,280kgf/cm2,第1型水泥,工地交貨",,北區,北,region,exact,價格趨勢PDF,2210.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,315kgf/cm2,第1型水泥,工地交貨",,中區,中,region,exact,價格趨勢PDF,2290.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,315kgf/cm2,第1型水泥,工地交貨",,北區,北,region,exact,價格趨勢PDF,2310.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,350kgf/cm2,第1型水泥,工地交貨",,中區,中,region,exact,價格趨勢PDF,2390.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,350kgf/cm2,第1型水泥,工地交貨",,北區,北,region,exact,價格趨勢PDF,2410.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,420kgf/cm2,第1型水泥,工地交貨",,中區,中,region,exact,價格趨勢PDF,2490.0,,,預拌混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,預拌混凝土,"產品,預拌混凝土材料費,420kgf/cm2,第1型水泥,工地交貨",,北區,北,region,exact,價格趨勢PDF,2510.0,,,預拌混凝土價格趨勢1030115.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H400×B400,t1=13mm,t2=21mm)",,中區,中,region,exact,價格趨勢PDF,25325.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H400×B400,t1=13mm,t2=21mm)",,北區,北,region,exact,價格趨勢PDF,25325.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H400×B400,t1=13mm,t2=21mm)",,南區,南,region,exact,價格趨勢PDF,25325.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H400×B400,t1=13mm,t2=21mm)",,台東,東,region,exact,價格趨勢PDF,25325.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H400×B400,t1=13mm,t2=21mm)",,花蓮,東,region,exact,價格趨勢PDF,25325.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H700×B300,t1=13mm,t2=24mm",,中區,中,region,exact,價格趨勢PDF,25425.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H700×B300,t1=13mm,t2=24mm",,北區,北,region,exact,價格趨勢PDF,25425.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H700×B300,t1=13mm,t2=24mm",,南區,南,region,exact,價格趨勢PDF,25425.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H700×B300,t1=13mm,t2=24mm",,台東,東,region,exact,價格趨勢PDF,25425.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H700×B300,t1=13mm,t2=24mm",,花蓮,東,region,exact,價格趨勢PDF,25425.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H800×B300,t1=14mm,t2=26mm)",,中區,中,region,exact,價格趨勢PDF,25625.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H800×B300,t1=14mm,t2=26mm)",,北區,北,region,exact,價格趨勢PDF,25625.0,,,H型鋼價格趨勢1030217.pdf
103-02,10302,2014-02-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H800×B300,t1=14mm,t2=26mm)",,南區,南,region,exact,價格趨勢PDF,25625.0,,,H型鋼價格趨勢1030217.pdf
